Levelized cost for Synthetic Ethylene Production - $/t-ethylene,,,,,,,,,,,,,,,,,,,,,,,,
id_LC,h2_consumption,elec_consumption,co2captured_consumption,natgas_production,gasoline_production,investment_cost,fixed_om_cost,variable_om_cost,modified capture cost,modified emissions cost,LCOE ($/t-ethylene),,id_LC,h2_consumption,elec_consumption,co2captured_consumption,natgas_production,gasoline_production,investment_cost,fixed_om_cost,variable_om_cost,modified capture cost,modified emissions cost,LCOE ($/t-ethylene)
NW_S-CC90-H2in,0.0,52.92930807794703,811.5109984800006,-18.936403351760667,502.99519101863086,214.5739110730595,117.95601525875196,-45.26,0.0,208.08428475142878,1843.853305308058,,NCEN_S-CC90-H2in,0.0,60.686741672550035,543.5260593000004,-18.531272002448883,502.99519101863086,214.5739110730595,117.95601525875196,-45.26,0.0,208.08428475142878,1584.0309310719726
SW_S-CC90-H2in,0.0,55.24045043334303,751.8885375750004,-18.93628050856165,502.99519101863086,214.5739110730595,117.95601525875196,-45.26,0.0,208.08428475142878,1786.5421096016528,,SE_S-H2in,0.0,59.04126179845204,524.7687838200004,-18.53119056706977,502.995191018631,194.2604047945207,106.85541647640798,-43.02,0.0,260.16373123642865,1586.533598577371
TX_S-CC90-H2in,0.0,39.86310372653702,711.1562221050004,-18.393397764811823,502.99519101863086,214.5739110730595,117.95601525875196,-45.26,0.0,208.08428475142878,1730.9753301685967,,NCEN_S-H2in,0.0,47.596701894150044,575.9607066000004,-18.531272002448894,502.995191018631,194.2604047945207,106.85541647640798,-43.02,0.0,260.16373123642865,1626.2808800176897
NCEN_S-CC90-H2in,0.0,60.686741672550035,543.5260593000004,-18.531272002448883,502.99519101863086,214.5739110730595,117.95601525875196,-45.26,0.0,208.08428475142878,1584.0309310719726,,CEN_S-CC90-H2in,0.0,49.63018182582603,626.5957146750004,-18.53119884863374,502.99519101863086,214.5739110730595,117.95601525875196,-45.26,0.0,208.08428475142878,1656.0440997540638
CEN_S-CC90-H2in,0.0,49.63018182582603,626.5957146750004,-18.53119884863374,502.99519101863086,214.5739110730595,117.95601525875196,-45.26,0.0,208.08428475142878,1656.0440997540638,,CEN_S-H2in,0.0,38.92502553625803,663.9875023500006,-18.53119884863375,502.995191018631,194.2604047945207,106.85541647640798,-43.02,0.0,260.16373123642865,1705.6360725636134
SE_S-CC90-H2in,0.0,75.27878319704404,495.21695811000035,-18.531190567069757,502.99519101863086,214.5739110730595,117.95601525875196,-45.26,0.0,208.08428475142878,1550.3139528418458,,TX_S-CC90-H2in,0.0,39.86310372653702,711.1562221050004,-18.393397764811823,502.99519101863086,214.5739110730595,117.95601525875196,-45.26,0.0,208.08428475142878,1730.9753301685967
MIDAT_S-CC90-H2in,0.0,77.64910282899004,455.2004679600003,-18.531973174865737,502.99519101863086,214.5739110730595,117.95601525875196,-45.26,0.0,208.08428475142878,1512.6669997159959,,SW_S-CC90-H2in,0.0,55.24045043334303,751.8885375750004,-18.93628050856165,502.99519101863086,214.5739110730595,117.95601525875196,-45.26,0.0,208.08428475142878,1786.5421096016528
NE_S-CC90-H2in,0.0,93.58715571300904,384.7021090500003,-18.53176475550561,502.99519101863086,214.5739110730595,117.95601525875196,-45.26,0.0,208.08428475142878,1458.106902109375,,TX_S-H2in,0.0,31.26469163372103,753.5941160100006,-18.393397764811834,502.995191018631,194.2604047945207,106.85541647640798,-43.02,0.0,260.16373123642865,1787.720153404898
0.0,,,,,,,,0.0,0.0,,,,SW_S-H2in,0.0,43.32516756231904,796.7571121500006,-18.936280508561662,502.995191018631,194.2604047945207,106.85541647640798,-43.02,0.0,260.16373123642865,1842.4007427297463
0.0,,,,,,,,0.0,0.0,,,,NW_S-CC90-H2in,0.0,52.92930807794703,811.5109984800006,-18.936403351760667,502.99519101863086,214.5739110730595,117.95601525875196,-45.26,0.0,208.08428475142878,1843.853305308058
0.0,,,,,,,,0.0,0.0,,,,CA_S-CC90-H2in,0.0,72.09688722856204,819.5359630500006,-18.93520252498377,502.99519101863086,214.5739110730595,117.95601525875196,-45.26,0.0,208.08428475142878,1871.04704985545
0.0,,,,,,,,0.0,0.0,,,,NW_S-H2in,0.0,41.512535170251034,859.9375137600006,-18.93640335176068,502.995191018631,194.2604047945207,106.85541647640798,-43.02,0.0,260.16373123642865,1903.7683891044792
0.0,,,,,,,,0.0,0.0,,,,CA_S-H2in,0.0,56.54569605054605,868.4413641000007,-18.935202524983783,502.995191018631,194.2604047945207,106.85541647640798,-43.02,0.0,260.16373123642865,1927.3066011515514
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
